country;cumulative_total_cases;daily_new_cases;active_cases;cumulative_total_deaths;daily_new_deaths
Afghanistan;59021.0;174.0;3940.0;2592.0;10.0
Afghanistan;59225.0;204.0;4107.0;2598.0;6.0
Afghanistan;59370.0;145.0;3965.0;2611.0;13.0
Afghanistan;59576.0;206.0;3984.0;2618.0;7.0
Afghanistan;59745.0;169.0;4017.0;2625.0;7.0
Afghanistan;59942.0;197.0;4105.0;2631.0;6.0
Afghanistan;60122.0;180.0;4213.0;2637.0;6.0
Afghanistan;60288.0;166.0;4255.0;2642.0;5.0
Afghanistan;60563.0;275.0;4354.0;2648.0;6.0
Afghanistan;60797.0;234.0;4449.0;2654.0;6.0
Afghanistan;61162.0;365.0;4748.0;2664.0;10.0
Afghanistan;61455.0;293.0;4821.0;2673.0;9.0
Afghanistan;61755.0;300.0;5053.0;2683.0;10.0
Afghanistan;61842.0;87.0;5116.0;2686.0;3.0
Afghanistan;62063.0;221.0;5143.0;2698.0;12.0
Afghanistan;62403.0;340.0;5311.0;2710.0;12.0
Afghanistan;62718.0;315.0;5502.0;2713.0;3.0
Afghanistan;62942.0;224.0;5687.0;2721.0;8.0
Afghanistan;63349.0;407.0;6000.0;2730.0;9.0
Afghanistan;63412.0;63.0;6045.0;2733.0;3.0
Afghanistan;63484.0;72.0;6079.0;2742.0;9.0
Afghanistan;63598.0;114.0;6167.0;2745.0;3.0
Afghanistan;63819.0;221.0;6058.0;2751.0;6.0
Afghanistan;64122.0;303.0;6242.0;2762.0;11.0
Afghanistan;64575.0;453.0;6274.0;2772.0;10.0
Afghanistan;65080.0;505.0;6611.0;2782.0;10.0
Afghanistan;65486.0;406.0;6904.0;2792.0;10.0
Afghanistan;65734.0;248.0;7043.0;2802.0;10.0
Afghanistan;66275.0;541.0;7428.0;2812.0;10.0
Afghanistan;66903.0;628.0;7772.0;2836.0;24.0
Afghanistan;67743.0;840.0;8370.0;2855.0;19.0
Afghanistan;68366.0;623.0;8786.0;2869.0;14.0
Afghanistan;69146.0;780.0;9303.0;2881.0;12.0
Afghanistan;70111.0;965.0;10093.0;2899.0;18.0
Afghanistan;70762.0;651.0;10562.0;2919.0;20.0
Afghanistan;71838.0;1076.0;11444.0;2944.0;25.0
Afghanistan;72981.0;1143.0;12378.0;2974.0;30.0
Afghanistan;74026.0;1045.0;13278.0;3007.0;33.0
Afghanistan;75119.0;1093.0;14122.0;3034.0;27.0
